"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17024_001E","Estimate!!Total:"
"B17024_001M","Margin of Error!!Total:"
"B17024_002E","Estimate!!Total:!!Under 6 years:"
"B17024_002M","Margin of Error!!Total:!!Under 6 years:"
"B17024_003E","Estimate!!Total:!!Under 6 years:!!Under .50"
"B17024_003M","Margin of Error!!Total:!!Under 6 years:!!Under .50"
"B17024_004E","Estimate!!Total:!!Under 6 years:!!.50 to .74"
"B17024_004M","Margin of Error!!Total:!!Under 6 years:!!.50 to .74"
"B17024_005E","Estimate!!Total:!!Under 6 years:!!.75 to .99"
"B17024_005M","Margin of Error!!Total:!!Under 6 years:!!.75 to .99"
"B17024_006E","Estimate!!Total:!!Under 6 years:!!1.00 to 1.24"
"B17024_006M","Margin of Error!!Total:!!Under 6 years:!!1.00 to 1.24"
"B17024_007E","Estimate!!Total:!!Under 6 years:!!1.25 to 1.49"
"B17024_007M","Margin of Error!!Total:!!Under 6 years:!!1.25 to 1.49"
"B17024_008E","Estimate!!Total:!!Under 6 years:!!1.50 to 1.74"
"B17024_008M","Margin of Error!!Total:!!Under 6 years:!!1.50 to 1.74"
"B17024_009E","Estimate!!Total:!!Under 6 years:!!1.75 to 1.84"
"B17024_009M","Margin of Error!!Total:!!Under 6 years:!!1.75 to 1.84"
"B17024_010E","Estimate!!Total:!!Under 6 years:!!1.85 to 1.99"
"B17024_010M","Margin of Error!!Total:!!Under 6 years:!!1.85 to 1.99"
"B17024_011E","Estimate!!Total:!!Under 6 years:!!2.00 to 2.99"
"B17024_011M","Margin of Error!!Total:!!Under 6 years:!!2.00 to 2.99"
"B17024_012E","Estimate!!Total:!!Under 6 years:!!3.00 to 3.99"
"B17024_012M","Margin of Error!!Total:!!Under 6 years:!!3.00 to 3.99"
"B17024_013E","Estimate!!Total:!!Under 6 years:!!4.00 to 4.99"
"B17024_013M","Margin of Error!!Total:!!Under 6 years:!!4.00 to 4.99"
"B17024_014E","Estimate!!Total:!!Under 6 years:!!5.00 and over"
"B17024_014M","Margin of Error!!Total:!!Under 6 years:!!5.00 and over"
"B17024_015E","Estimate!!Total:!!6 to 11 years:"
"B17024_015M","Margin of Error!!Total:!!6 to 11 years:"
"B17024_016E","Estimate!!Total:!!6 to 11 years:!!Under .50"
"B17024_016M","Margin of Error!!Total:!!6 to 11 years:!!Under .50"
"B17024_017E","Estimate!!Total:!!6 to 11 years:!!.50 to .74"
"B17024_017M","Margin of Error!!Total:!!6 to 11 years:!!.50 to .74"
"B17024_018E","Estimate!!Total:!!6 to 11 years:!!.75 to .99"
"B17024_018M","Margin of Error!!Total:!!6 to 11 years:!!.75 to .99"
"B17024_019E","Estimate!!Total:!!6 to 11 years:!!1.00 to 1.24"
"B17024_019M","Margin of Error!!Total:!!6 to 11 years:!!1.00 to 1.24"
"B17024_020E","Estimate!!Total:!!6 to 11 years:!!1.25 to 1.49"
"B17024_020M","Margin of Error!!Total:!!6 to 11 years:!!1.25 to 1.49"
"B17024_021E","Estimate!!Total:!!6 to 11 years:!!1.50 to 1.74"
"B17024_021M","Margin of Error!!Total:!!6 to 11 years:!!1.50 to 1.74"
"B17024_022E","Estimate!!Total:!!6 to 11 years:!!1.75 to 1.84"
"B17024_022M","Margin of Error!!Total:!!6 to 11 years:!!1.75 to 1.84"
"B17024_023E","Estimate!!Total:!!6 to 11 years:!!1.85 to 1.99"
"B17024_023M","Margin of Error!!Total:!!6 to 11 years:!!1.85 to 1.99"
"B17024_024E","Estimate!!Total:!!6 to 11 years:!!2.00 to 2.99"
"B17024_024M","Margin of Error!!Total:!!6 to 11 years:!!2.00 to 2.99"
"B17024_025E","Estimate!!Total:!!6 to 11 years:!!3.00 to 3.99"
"B17024_025M","Margin of Error!!Total:!!6 to 11 years:!!3.00 to 3.99"
"B17024_026E","Estimate!!Total:!!6 to 11 years:!!4.00 to 4.99"
"B17024_026M","Margin of Error!!Total:!!6 to 11 years:!!4.00 to 4.99"
"B17024_027E","Estimate!!Total:!!6 to 11 years:!!5.00 and over"
"B17024_027M","Margin of Error!!Total:!!6 to 11 years:!!5.00 and over"
"B17024_028E","Estimate!!Total:!!12 to 17 years:"
"B17024_028M","Margin of Error!!Total:!!12 to 17 years:"
