req_ts,unique_id,railroad,origination_time,trip_id,train_no,route,direction,stop,scheduled_arrival_time,arrival_time,scheduled_departure_time,departure_time,schedule_relationship,trip_schedule_relationship,inferred_from_schedule
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,North Station,1785551400,1785551400,1785551400,1785551400,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Porter,1785552000,1785552000,1785552000,1785552000,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Belmont,1785552300,1785552300,1785552300,1785552300,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Waverley,1785552420,1785552420,1785552420,1785552420,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Waltham,1785552720,1785552720,1785552720,1785552720,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Brandeis/Roberts,1785552900,1785552900,1785552900,1785552900,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Kendal Green,1785553140,1785553140,1785553140,1785553140,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Lincoln,1785553440,1785553440,1785553440,1785553440,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Concord,1785553740,1785553740,1785553740,1785553740,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,West Concord,1785553980,1785553980,1785553980,1785553980,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,South Acton,1785554280,1785554280,1785554280,1785554280,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Littleton/Route 495,1785554700,1785554700,1785554700,1785554700,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Ayer,1785555180,1785555180,1785555180,1785555180,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,Shirley,1785555480,1785555480,1785555480,1785555480,SCHEDULED,SCHEDULED,True
,MBTA|20260731|445|NorthBase-825787-445,MBTA,1785551400,NorthBase-825787-445,445,Fitchburg Line,Outbound,North Leominster,1785556020,1785556020,1785556020,1785556020,SCHEDULED,SCHEDULED,True
